Date,Time,Open,High,Low,Close,Vol,OI
07/29/2002,16:00:00,82.06000,82.16000,81.32000,81.42000,8400,0
07/30/2002,16:00:00,81.75000,81.90000,81.52000,81.52000,6100,0
07/31/2002,16:00:00,81.95000,82.80000,81.90000,82.53000,29400,0
08/01/2002,16:00:00,82.54000,83.02000,82.54000,83.00000,25000,0
08/02/2002,16:00:00,83.16000,84.10000,82.88000,83.85000,52800,0
08/05/2002,16:00:00,84.04000,84.44000,83.85000,84.22000,61100,0
08/06/2002,16:00:00,83.80000,83.90000,83.22000,83.50000,64900,0
08/07/2002,16:00:00,83.60000,84.14000,83.36000,83.70000,40300,0
08/08/2002,16:00:00,83.58000,83.77000,83.36000,83.70000,40900,0
08/09/2002,16:00:00,84.00000,84.88000,84.00000,84.88000,35900,0
08/12/2002,16:00:00,85.30000,86.70000,85.14000,85.40000,32100,0
08/13/2002,16:00:00,85.78000,86.47000,85.37000,86.45000,74300,0
08/14/2002,16:00:00,87.46000,87.90000,86.75000,86.78000,130000,0
08/15/2002,16:00:00,86.38000,86.50000,85.85000,86.02000,87100,0
08/16/2002,16:00:00,86.44000,86.52000,84.82000,85.06000,85000,0
08/19/2002,16:00:00,85.05000,85.34000,84.71000,85.32000,47300,0
08/20/2002,16:00:00,85.62000,86.29000,85.60000,86.27000,40800,0
08/21/2002,16:00:00,85.68000,86.10000,85.63000,85.81000,40000,0
08/22/2002,16:00:00,85.55000,85.55000,85.06000,85.06000,34400,0
08/23/2002,16:00:00,85.20000,85.95000,85.20000,85.90000,20100,0
08/26/2002,16:00:00,85.70000,86.21000,85.67000,85.98000,23900,0
08/27/2002,16:00:00,85.40000,85.68000,85.20000,85.44000,301800,0
08/28/2002,16:00:00,86.04000,86.18000,85.84000,85.87000,18100,0
08/29/2002,16:00:00,86.76000,86.86000,86.35000,86.56000,135700,0
08/30/2002,16:00:00,86.75000,87.13000,86.45000,87.08000,78100,0
09/03/2002,16:00:00,87.08000,88.04000,87.00000,88.04000,102100,0
09/04/2002,16:00:00,88.03000,88.30000,87.84000,88.02000,66300,0
09/05/2002,16:00:00,88.57000,88.65000,87.38000,88.50000,648400,0
09/06/2002,16:00:00,87.97000,88.19000,87.20000,87.46000,140000,0
09/09/2002,16:00:00,87.50000,87.83000,87.26000,87.33000,83800,0
09/10/2002,16:00:00,87.17000,88.00000,87.00000,87.75000,336000,0
09/11/2002,16:00:00,87.00000,87.30000,86.75000,87.29000,177700,0
09/12/2002,16:00:00,87.48000,88.14000,87.47000,87.97000,43400,0
09/13/2002,16:00:00,88.33000,88.94000,88.18000,88.78000,155100,0
09/16/2002,16:00:00,89.20000,89.22000,88.90000,88.93000,73000,0
09/17/2002,16:00:00,88.64000,89.32000,88.36000,89.10000,75400,0
09/18/2002,16:00:00,89.46000,89.56000,89.02000,89.12000,196600,0
09/19/2002,16:00:00,89.70000,89.77000,89.26000,89.72000,109900,0
09/20/2002,16:00:00,89.45000,89.52000,89.06000,89.30000,113500,0
09/23/2002,16:00:00,90.00000,90.24000,89.77000,90.10000,163200,0
09/24/2002,16:00:00,90.30000,90.94000,90.21000,90.68000,251900,0
09/25/2002,16:00:00,90.10000,90.36000,89.26000,89.58000,127200,0
09/26/2002,16:00:00,89.05000,89.53000,88.61000,89.37000,429000,0
09/27/2002,16:00:00,89.53000,90.04000,89.48000,90.04000,298200,0
09/30/2002,16:00:00,90.66000,90.90000,90.08000,90.40000,297800,0
10/01/2002,16:00:00,89.16000,89.30000,88.80000,88.94000,257500,0
10/02/2002,16:00:00,89.24000,89.48000,88.84000,89.45000,91000,0
10/03/2002,16:00:00,89.30000,89.51000,88.80000,89.23000,29900,0
10/04/2002,16:00:00,88.40000,89.72000,88.40000,89.51000,131000,0
10/07/2002,16:00:00,89.90000,89.96000,89.46000,89.66000,433800,0
10/08/2002,16:00:00,89.50000,90.52000,89.32000,89.69000,530900,0
10/09/2002,16:00:00,90.30000,90.38000,89.95000,90.15000,402900,0
10/10/2002,16:00:00,90.17000,90.17000,89.28000,89.44000,97100,0
